Title,Acronym,source,rank,core_id
1st International Conference on Building Energy and Environment,COBEE,ERA2010,,1
1st International Conference on Engineering Management,ICEM,ERA2010,,2
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,ERA2010,B,3
3-D Digital Imaging and Modelling,3DIM,CORE2018,C,4
3-D Digital Imaging and Modelling,3DIM,CORE2017,C,4
3-D Digital Imaging and Modelling,3DIM,CORE2014,C,4
3-D Digital Imaging and Modelling,3DIM,CORE2013,C,4
3-D Digital Imaging and Modelling,3DIM,ERA2010,C,4
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2018,C,5
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2017,C,5
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2014,C,5
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2013,C,5
A Satellite workshop on Formal Approaches to Testing of Software,FATES,ERA2010,C,5
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2008,C,5
AAEE - Annual Conference of Australasian Association for Engineering Education,,ERA2010,B,6
Accelerating excellence in the built environment World Conference,WCAEBE,ERA2010,C,7
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2018,Australasian,8
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2017,Australasian,8
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2014,Australasian,8
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2013,Australasian,8
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,ERA2010,C,8
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2021,C,9
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2020,C,9
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2018,C,9
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2017,C,9
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2014,C,9
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2013,C,9
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,ERA2010,C,9
ACM Annual Computer Science Conference,CSC,CORE2018,C,10
ACM Annual Computer Science Conference,CSC,CORE2017,C,10
ACM Annual Computer Science Conference,CSC,CORE2014,C,10
ACM Annual Computer Science Conference,CSC,CORE2013,C,10
ACM Annual Computer Science Conference,CSC,ERA2010,C,10
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2021,A*,11
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2020,A*,11
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2018,A*,11
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2017,A*,11
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2014,A*,11
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2013,A*,11
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,ERA2010,A,11
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2008,A*,11
ACM Conference on Computer and Communications Security,CCS,CORE2021,A*,12
ACM Conference on Computer and Communications Security,CCS,CORE2020,A*,12
ACM Conference on Computer and Communications Security,CCS,CORE2018,A*,12
ACM Conference on Computer and Communications Security,CCS,CORE2017,A*,12
ACM Conference on Computer and Communications Security,CCS,CORE2014,A*,12
ACM Conference on Computer and Communications Security,CCS,CORE2013,A*,12
ACM Conference on Computer and Communications Security,CCS,ERA2010,A,12
ACM Conference on Computer and Communications Security,CCS,CORE2008,A*,12
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2021,A,13
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2020,A,13
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2018,A,13
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2017,A,13
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2014,A,13
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2013,A,13
ACM Conference on Computer Supported Cooperative Work,CSCW,ERA2010,A,13
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2008,A,13
ACM Conference on Economics and Computation,EC,CORE2021,A*,14
ACM Conference on Economics and Computation,EC,CORE2020,A*,14
ACM Conference on Economics and Computation,EC,CORE2018,A*,14
ACM Conference on Economics and Computation,EC,CORE2017,B,14
ACM Conference on Economics and Computation,EC,CORE2014,B,14
ACM Conference on Economics and Computation,EC,CORE2013,B,14
ACM Conference on Economics and Computation,EC,ERA2010,B,14
ACM Conference on Economics and Computation,EC,CORE2008,A,14
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2021,A*,15
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2020,A*,15
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2018,A*,15
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2017,A*,15
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2014,A*,15
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2013,A*,15
ACM Conference on Embedded Networked Sensor Systems,SENSYS,ERA2010,A,15
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2008,A*,15
ACM Conference on Embedded Software,EMSOFT,CORE2021,Journal published,16
ACM Conference on Embedded Software,EMSOFT,CORE2020,A,16
ACM Conference on Embedded Software,EMSOFT,CORE2018,A,16
ACM Conference on Embedded Software,EMSOFT,CORE2017,A,16
ACM Conference on Embedded Software,EMSOFT,CORE2014,A,16
ACM Conference on Embedded Software,EMSOFT,CORE2013,A,16
ACM Conference on Embedded Software,EMSOFT,ERA2010,A,16
ACM Conference on Embedded Software,EMSOFT,CORE2008,A,16
ACM Conference on Hypertext and Social Media,Hypertext,CORE2018,A,17
ACM Conference on Hypertext and Social Media,Hypertext,CORE2017,A,17
ACM Conference on Hypertext and Social Media,Hypertext,CORE2014,A,17
ACM Conference on Hypertext and Social Media,Hypertext,CORE2013,A,17
ACM Conference on Hypertext and Social Media,Hypertext,ERA2010,A,17
ACM Conference on Hypertext and Social Media,Hypertext,CORE2008,A,17
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2021,A,18
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2020,A*,18
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2018,A*,18
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2017,A*,18
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2014,A*,18
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2013,A*,18
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,ERA2010,A,18
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2008,A*,18
ACM Creativity and Cognition,CC,ERA2010,A,19
ACM Digital Rights Management Workshop,DRM,CORE2018,C,20
ACM Digital Rights Management Workshop,DRM,CORE2017,C,20
ACM Digital Rights Management Workshop,DRM,CORE2014,C,20
ACM Digital Rights Management Workshop,DRM,CORE2013,C,20
ACM Digital Rights Management Workshop,DRM,ERA2010,C,20
ACM Information Technology Education,SIGITE,CORE2021,National: USA,21
ACM Information Technology Education,SIGITE,CORE2020,National: USA,21
ACM Information Technology Education,SIGITE,CORE2018,C,21
ACM Information Technology Education,SIGITE,CORE2017,C,21
ACM Information Technology Education,SIGITE,CORE2014,C,21
ACM Information Technology Education,SIGITE,CORE2013,C,21
ACM Information Technology Education,SIGITE,ERA2010,C,21
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2021,A,22
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2020,National: USA,22
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2018,A,22
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2017,B,22
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2014,B,22
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2013,B,22
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,ERA2010,B,22
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2021,B,23
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2020,B,23
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2018,B,23
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2017,B,23
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2014,B,23
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2013,B,23
