hal_title,year,hal_id,booktitle,core_title,Acronym,Source,Rank,Primary FoR,distance,method
"Alternative Constructions of Asymmetric Primitives from Obfuscation: Hierarchical IBE, Predicate Encryption, and More",2020,hal-03120656,Indocrypt 2020 - 21st International Conference on Cryptology,International Conference on Cryptology in India,INDOCRYPT,CORE2021,National India,4604,,token
DAS3H: Modeling Student Learning and Forgetting for Optimally Scheduling Distributed Practice of Skills,2019,hal-03427048,JDSE 2019 - Paris-Saclay Junior Conference on Data Science and Engineering,IEEE International Conference on Data Science and Engineering,ICDSE,CORE2021,NationalIndia,4605,24,score
Causal-Consistent Replay Debugging for Message Passing Programs,2019,hal-02313745,"FORTE 2019 - 39th International Conference on Formal Techniques for Distributed Objects, Components, and Systems","IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,CORE2018,B, 803,,token
A study on tensor and matrix models for super-resolution fluorescence microscopy,2019,hal-02309659,CAMSAP 2019 - IEEE International Workshop on Computational Advances in Multi-Sensor Adaptive Processing,IEEE International Workshop on Neural Networks for Signal Processing,NNSP,CORE2018,C, 801,50,score
,2019,hal-02087586,,,,,,,,
Load vector based damage localization with rejection of the temperature effect,2019,hal-02143742,IOMAC 2019 - 8th International Operational Modal Analysis Conference,International Conference Formal Concept Analysis Conference,ICFCA,CORE2021,C,4613,33,score
Subspace-based damage detection with rejection of the temperature effect and uncertainty in the reference,2019,hal-02143745,IOMAC 2019 - 8th International Operational Modal Analysis Conference,International Conference Formal Concept Analysis Conference,ICFCA,CORE2021,C,4613,33,score
A Global Surrogate Assisted CMA-ES,2019,hal-02143961,GECCO 2019 - The Genetic and Evolutionary Computation Conference,Genetic and Evolutionary Computations,GECCO,CORE2021,A,4602,,token
Accelerating Approximate Nonnegative Canonical Polyadic Decomposition using Extrapolation,2019,hal-02143969,GRETSI 2019 - XXVII\`eme Colloque francophone de traitement du signal et des images,,,,,,,
Computation and Visualization of Differences between two XML Music Score Files,2019,hal-02309923,ISMIR 2019 - 20th annual conference of the International Society for Music Information Retrieval,Annual Conference of the International Academy for Information Management,IAIM,CORE2018,C, 806,37,score
